"student_id","school_id","grade","reading_time_home","parent_education","school_type","gender","birth_months","n_siblings","ses_index","naplan_reading_score"
703,53,"Year 3",15,"Year 12","Government","Female","May",2,0.52,397
704,25,"Year 7",5,"Year 12","Government","Male","Sep",2,0.21,533
705,20,"Year 5",70,"Postgraduate","Government","Female","Feb",3,0.49,612
706,21,"Year 9",55,"Year 10 or below","Independent","Male","Feb",2,-0.02,625
707,59,"Year 3",5,"Bachelor degree","Government","Male","Feb",1,1.14,474
708,11,"Year 9",5,"Year 12","Government","Female","Sep",2,0.69,588
709,59,"Year 9",35,"Bachelor degree","Government","Female","Oct",2,2.34,688
710,26,"Year 9",30,"Year 12","Government","Male","Jun",3,-0.6,594
711,34,"Year 7",15,"Bachelor degree","Catholic","Female","Mar",1,0.46,610
712,19,"Year 7",15,"Bachelor degree","Government","Female","Feb",0,1.02,652
713,27,"Year 9",40,"Year 12","Government","Female","Sep",2,-0.81,717
714,41,"Year 5",40,"Bachelor degree","Government","Female","Jul",3,0.55,485
715,38,"Year 7",20,"Certificate/Diploma","Government","Female","Aug",1,-0.42,628
716,50,"Year 7",5,"Year 12","Government","Male","May",1,-0.67,535
717,20,"Year 3",20,"Certificate/Diploma","Government","Male","Apr",1,-0.1,470
718,23,"Year 7",20,"Year 12","Independent","Male","Mar",2,-0.25,585
719,25,"Year 3",10,"Postgraduate","Government","Female","Sep",1,0.81,487
720,40,"Year 9",5,"Certificate/Diploma","Government","Male","May",5,0.84,584
721,8,"Year 3",15,"Bachelor degree","Government","Male","Feb",2,0.34,514
722,4,"Year 9",15,"Certificate/Diploma","Catholic","Female","Jul",1,0.81,664
723,29,"Year 7",15,"Certificate/Diploma","Government","Male","Mar",1,1.44,568
724,55,"Year 3",0,"Postgraduate","Government","Male","Sep",3,2.08,463
725,56,"Year 9",10,"Bachelor degree","Catholic","Male","Oct",3,1.09,680
726,41,"Year 7",25,"Bachelor degree","Government","Female","Oct",2,1.75,526
727,53,"Year 5",10,"Postgraduate","Government","Male","Jul",2,0.6,537
728,50,"Year 7",25,"Year 10 or below","Government","Male","Sep",1,-0.57,568
729,14,"Year 5",35,"Year 12","Government","Female","Nov",2,-0.34,522
730,49,"Year 3",0,"Year 10 or below","Independent","Female","Jan",3,-0.33,466
731,43,"Year 7",10,"Certificate/Diploma","Government","Female","Jul",1,-0.08,585
732,8,"Year 9",0,"Year 10 or below","Government","Male","Mar",4,-1.29,590
733,38,"Year 3",5,"Bachelor degree","Government","Female","Oct",3,0.66,468
734,42,"Year 5",15,"Bachelor degree","Government","Male","Mar",1,0.62,557
735,10,"Year 7",15,"Bachelor degree","Catholic","Male","Jan",4,1.65,587
736,14,"Year 9",15,"Bachelor degree","Government","Male","Aug",2,0.76,658
737,20,"Year 9",0,"Postgraduate","Government","Female","Oct",0,1.4,639
738,53,"Year 9",0,"Certificate/Diploma","Government","Male","Mar",4,0.27,601
739,17,"Year 3",75,"Year 12","Independent","Male","Jan",2,1.21,546
740,50,"Year 5",0,"Year 10 or below","Government","Female","Jan",2,-1.12,517
741,42,"Year 9",105,"Year 12","Government","Male","Aug",5,-0.44,900
742,11,"Year 5",40,"Year 10 or below","Government","Female","Nov",1,-0.5,438
743,51,"Year 9",15,"Certificate/Diploma","Government","Female","Sep",4,0.88,674
744,36,"Year 9",5,"Year 12","Catholic","Female","Oct",1,-0.31,606
745,29,"Year 7",15,"Year 12","Government","Male","Nov",5,0.09,539
746,3,"Year 9",5,"Year 12","Government","Male","Nov",2,-0.02,611
747,27,"Year 9",0,"Year 12","Government","Male","Mar",3,-0.74,558
748,14,"Year 7",40,"Year 12","Government","Female","Mar",2,0.46,590
749,24,"Year 5",20,"Bachelor degree","Independent","Male","Jul",2,1.26,603
750,56,"Year 7",60,"Year 10 or below","Catholic","Female","Feb",4,-1.1,679
751,47,"Year 5",40,"Bachelor degree","Independent","Female","Jan",2,2.34,605
752,37,"Year 7",10,"Certificate/Diploma","Government","Female","Mar",1,0,604
753,50,"Year 5",35,"Year 12","Government","Female","Mar",1,0.23,559
754,54,"Year 3",25,"Bachelor degree","Catholic","Male","Dec",2,1.13,449
755,48,"Year 7",15,"Postgraduate","Government","Female","Jul",0,0.83,603
756,31,"Year 3",15,"Year 12","Catholic","Male","Jan",2,0.05,512
757,20,"Year 9",55,"Postgraduate","Government","Female","Jan",2,1.79,704
758,54,"Year 5",5,"Bachelor degree","Catholic","Female","Sep",1,0.65,571
759,26,"Year 7",75,"Certificate/Diploma","Government","Female","Sep",2,1.49,587
760,59,"Year 5",10,"Postgraduate","Government","Male","May",1,1.66,525
761,11,"Year 5",10,"Postgraduate","Government","Female","Feb",2,0.42,624
762,25,"Year 9",20,"Year 12","Government","Male","Apr",3,-0.51,547
763,35,"Year 5",25,"Year 12","Government","Male","Jan",2,0.01,608
764,12,"Year 5",80,"Bachelor degree","Catholic","Male","Jan",2,0.82,608
765,56,"Year 5",50,"Bachelor degree","Catholic","Male","Oct",2,1.63,652
766,30,"Year 5",0,"Year 10 or below","Catholic","Male","Oct",0,-1.08,487
767,24,"Year 9",10,"Postgraduate","Independent","Male","Mar",4,1.83,698
768,25,"Year 9",10,"Year 12","Government","Male","Oct",5,0.21,598
769,37,"Year 9",15,"Year 10 or below","Government","Female","May",1,-1.07,612
770,6,"Year 7",10,"Bachelor degree","Government","Male","Dec",2,1,543
771,44,"Year 5",0,"Certificate/Diploma","Independent","Female","Nov",1,1.5,617
772,29,"Year 9",10,"Bachelor degree","Government","Male","Aug",0,1.78,640
773,59,"Year 5",5,"Year 12","Government","Male","Jul",1,0.81,446
774,6,"Year 5",5,"Certificate/Diploma","Government","Male","Feb",2,0.73,498
775,14,"Year 7",0,"Year 10 or below","Government","Female","Mar",4,-1.1,546
776,22,"Year 5",0,"Postgraduate","Government","Female","Sep",3,1.27,498
777,20,"Year 7",5,"Year 12","Government","Male","Nov",0,0.63,584
778,26,"Year 9",0,"Bachelor degree","Government","Female","Oct",2,0.18,623
779,1,"Year 5",5,"Postgraduate","Independent","Female","Sep",2,2.8,700
780,7,"Year 9",10,"Certificate/Diploma","Catholic","Female","Oct",1,1.12,646
781,51,"Year 3",45,"Postgraduate","Government","Male","Aug",4,1.36,552
782,2,"Year 7",20,"Certificate/Diploma","Independent","Female","Aug",3,1.1,684
783,19,"Year 7",0,"Bachelor degree","Government","Male","Aug",1,0.89,573
784,41,"Year 5",5,"Year 12","Government","Male","Dec",1,-0.07,489
785,44,"Year 7",15,"Postgraduate","Independent","Female","Dec",5,1.85,748
786,11,"Year 9",15,"Bachelor degree","Government","Female","Aug",5,1.5,614
787,38,"Year 9",10,"Year 12","Government","Male","May",1,0.34,647
788,15,"Year 9",10,"Certificate/Diploma","Government","Male","Jul",2,-0.38,601
789,32,"Year 9",10,"Postgraduate","Catholic","Male","Dec",2,2.31,654
790,9,"Year 3",30,"Bachelor degree","Catholic","Male","Sep",5,1.25,423
791,43,"Year 7",20,"Postgraduate","Government","Male","Feb",1,1.07,615
792,11,"Year 7",45,"Bachelor degree","Government","Female","Sep",3,0.96,601
793,5,"Year 5",65,"Year 10 or below","Government","Male","Aug",2,-0.59,700
794,48,"Year 3",10,"Bachelor degree","Government","Male","Jul",3,2.06,463
795,29,"Year 3",0,"Bachelor degree","Government","Male","Feb",3,1.18,482
796,31,"Year 5",20,"Year 12","Catholic","Female","Nov",1,0.24,583
797,29,"Year 5",30,"Year 12","Government","Female","Nov",1,-0.24,496
798,31,"Year 9",5,"Year 10 or below","Catholic","Female","Sep",2,-0.9,590
799,23,"Year 3",5,"Certificate/Diploma","Independent","Male","Aug",1,1.57,460
800,60,"Year 5",0,"Certificate/Diploma","Government","Male","Dec",3,0.26,530
801,29,"Year 7",0,"Certificate/Diploma","Government","Male","Mar",1,1.16,546
802,20,"Year 3",45,"Year 12","Government","Female","Oct",1,-0.23,441
803,38,"Year 3",35,"Postgraduate","Government","Male","Sep",4,1.35,509
804,49,"Year 9",20,"Certificate/Diploma","Independent","Female","Dec",5,1.47,672
805,3,"Year 7",0,"Year 12","Government","Female","Sep",5,0.23,621
806,7,"Year 7",0,"Year 12","Catholic","Male","Nov",1,0.29,536
807,17,"Year 7",0,"Certificate/Diploma","Independent","Male","Aug",1,1.18,565
808,60,"Year 7",0,"Bachelor degree","Government","Female","Feb",3,0.12,569
809,52,"Year 9",45,"Bachelor degree","Government","Male","Dec",0,1.32,677
810,49,"Year 9",70,"Bachelor degree","Independent","Female","Jan",0,2.47,663
811,48,"Year 3",15,"Year 12","Government","Female","Feb",3,-0.53,440
812,43,"Year 9",35,"Certificate/Diploma","Government","Female","Oct",1,-0.12,667
813,45,"Year 5",65,"Certificate/Diploma","Government","Male","Sep",3,1.04,452
814,19,"Year 3",0,"Certificate/Diploma","Government","Male","Jul",0,0.64,486
815,45,"Year 7",110,"Postgraduate","Government","Female","Apr",2,2.11,417
816,29,"Year 7",30,"Bachelor degree","Government","Female","Dec",1,1.07,633
817,26,"Year 9",20,"Bachelor degree","Government","Male","Jan",5,1.41,616
818,55,"Year 7",55,"Year 12","Government","Female","Nov",1,0.67,755
819,45,"Year 9",35,"Year 10 or below","Government","Female","May",1,-0.18,544
820,58,"Year 3",45,"Certificate/Diploma","Government","Female","Sep",5,-0.06,478
821,29,"Year 9",15,"Certificate/Diploma","Government","Male","Apr",0,0.33,617
822,37,"Year 5",10,"Year 12","Government","Female","Jan",2,0.12,515
823,45,"Year 7",5,"Year 10 or below","Government","Male","Apr",4,-0.63,524
824,1,"Year 9",0,"Certificate/Diploma","Independent","Female","May",2,1.31,652
825,27,"Year 5",5,"Bachelor degree","Government","Male","Dec",2,0.74,540
826,29,"Year 3",10,"Bachelor degree","Government","Female","Jul",1,1.64,479
827,17,"Year 3",45,"Year 10 or below","Independent","Male","Jul",2,-0.39,486
828,7,"Year 5",10,"Bachelor degree","Catholic","Female","Dec",5,2.05,544
829,41,"Year 5",35,"Bachelor degree","Government","Male","Nov",4,0.45,459
830,51,"Year 3",20,"Certificate/Diploma","Government","Male","Oct",1,0.23,513
831,10,"Year 3",25,"Year 12","Catholic","Female","Mar",0,0.69,420
832,48,"Year 3",50,"Year 10 or below","Government","Female","Aug",1,-0.9,342
833,49,"Year 5",40,"Year 12","Independent","Female","Dec",2,0.34,548
834,25,"Year 7",30,"Year 12","Government","Female","Jan",4,-0.73,568
835,12,"Year 5",0,"Year 10 or below","Catholic","Male","Oct",2,-0.08,485
836,31,"Year 7",10,"Postgraduate","Catholic","Male","Mar",2,1.94,673
837,55,"Year 9",0,"Certificate/Diploma","Government","Male","Feb",2,0.35,603
838,53,"Year 9",15,"Year 12","Government","Female","Sep",2,-0.04,597
839,10,"Year 3",20,"Year 12","Catholic","Male","Feb",2,0.6,433
840,55,"Year 3",45,"Bachelor degree","Government","Female","Feb",1,1.2,600
841,32,"Year 9",30,"Year 10 or below","Catholic","Male","Jul",0,-0.61,545
842,36,"Year 3",35,"Year 12","Catholic","Female","Jun",0,0.86,408
843,11,"Year 5",50,"Bachelor degree","Government","Male","Jan",5,1.35,534
844,55,"Year 5",35,"Postgraduate","Government","Female","Aug",2,1.04,698
845,30,"Year 7",60,"Year 12","Catholic","Female","Nov",3,0.2,644
846,60,"Year 7",0,"Year 12","Government","Male","Jul",0,-0.65,524
847,51,"Year 5",20,"Year 12","Government","Male","Aug",2,-0.66,543
848,30,"Year 7",15,"Year 10 or below","Catholic","Female","Sep",1,-0.12,628
849,56,"Year 5",0,"Year 12","Catholic","Male","Nov",2,0.83,554
850,26,"Year 9",20,"Certificate/Diploma","Government","Male","Nov",0,1.41,630
851,1,"Year 3",0,"Postgraduate","Independent","Male","Dec",1,2.42,543
852,25,"Year 3",70,"Bachelor degree","Government","Male","Mar",1,0.66,441
853,19,"Year 3",0,"Bachelor degree","Government","Male","Oct",2,1.07,419
854,20,"Year 7",60,"Bachelor degree","Government","Female","May",1,-0.05,638
855,3,"Year 5",60,"Certificate/Diploma","Government","Male","Aug",2,0.04,572
856,15,"Year 9",0,"Year 10 or below","Government","Male","Sep",1,-1.55,581
857,55,"Year 3",25,"Bachelor degree","Government","Female","Sep",3,0.94,538
858,43,"Year 9",25,"Year 12","Government","Female","Jul",2,0.99,586
859,52,"Year 5",60,"Certificate/Diploma","Government","Female","Jan",1,0.73,521
860,27,"Year 3",15,"Year 10 or below","Government","Female","Apr",3,-1.05,440
861,26,"Year 3",5,"Year 12","Government","Female","Jan",3,-0.37,404
862,50,"Year 5",15,"Bachelor degree","Government","Male","Dec",3,1.04,545
863,18,"Year 9",15,"Year 10 or below","Government","Male","Oct",0,-1.03,519
864,11,"Year 7",0,"Year 12","Government","Female","Mar",2,0.49,529
865,18,"Year 7",30,"Year 10 or below","Government","Female","Jan",5,-1.04,431
866,8,"Year 9",5,"Year 12","Government","Female","Nov",2,-0.89,672
867,46,"Year 3",25,"Year 12","Independent","Male","May",2,0.65,407
868,6,"Year 5",65,"Certificate/Diploma","Government","Female","Aug",2,0.25,596
869,56,"Year 3",0,"Postgraduate","Catholic","Male","Aug",1,2.11,465
870,58,"Year 5",25,"Bachelor degree","Government","Male","Mar",1,0.52,567
871,52,"Year 3",0,"Certificate/Diploma","Government","Male","Jul",5,0.23,438
872,58,"Year 3",5,"Certificate/Diploma","Government","Male","Oct",2,0.28,437
873,59,"Year 7",0,"Year 12","Government","Male","Aug",1,0.62,535
874,30,"Year 9",0,"Year 12","Catholic","Male","Mar",2,0.69,641
875,4,"Year 3",30,"Postgraduate","Catholic","Male","Jan",2,2.89,515
876,29,"Year 5",10,"Year 12","Government","Female","Oct",2,0.44,537
877,50,"Year 5",30,"Certificate/Diploma","Government","Female","Aug",1,-0.17,621
878,18,"Year 9",40,"Year 12","Government","Male","Dec",3,-1.35,464
879,54,"Year 9",15,"Year 12","Catholic","Male","Oct",2,0.29,644
880,6,"Year 7",35,"Certificate/Diploma","Government","Female","Feb",1,0.21,620
881,3,"Year 3",85,"Bachelor degree","Government","Female","Jan",2,0.78,499
882,27,"Year 5",0,"Certificate/Diploma","Government","Male","Oct",1,0.96,535
883,44,"Year 9",20,"Bachelor degree","Independent","Female","Mar",1,2.05,736
884,58,"Year 9",45,"Bachelor degree","Government","Male","Mar",0,0.94,682
885,37,"Year 7",5,"Year 10 or below","Government","Female","Feb",1,-0.81,573
886,10,"Year 3",10,"Year 12","Catholic","Female","Dec",3,1.32,434
887,1,"Year 7",50,"Bachelor degree","Independent","Female","Jul",1,0.85,800
888,14,"Year 3",15,"Year 12","Government","Male","Jan",0,-0.89,412
889,14,"Year 7",45,"Certificate/Diploma","Government","Male","Dec",3,0.5,581
890,55,"Year 5",10,"Bachelor degree","Government","Male","Jul",2,1.13,599
891,29,"Year 9",5,"Certificate/Diploma","Government","Male","Oct",2,0.82,671
892,48,"Year 5",25,"Year 10 or below","Government","Female","Mar",1,-1.11,464
893,48,"Year 7",15,"Bachelor degree","Government","Male","Jan",3,1.49,581
894,1,"Year 3",0,"Certificate/Diploma","Independent","Female","Feb",2,1.5,491
895,50,"Year 7",40,"Year 12","Government","Female","Mar",2,-0.53,689
896,39,"Year 9",40,"Bachelor degree","Independent","Male","May",2,1.5,684
897,58,"Year 7",40,"Year 10 or below","Government","Female","Jul",1,0.14,596
898,52,"Year 5",60,"Bachelor degree","Government","Female","Feb",0,0.31,593
899,8,"Year 3",10,"Certificate/Diploma","Government","Female","Nov",2,0.3,490
900,52,"Year 5",60,"Year 12","Government","Male","Feb",2,0.58,436
901,43,"Year 9",0,"Year 12","Government","Male","Mar",1,0.05,561
902,11,"Year 5",0,"Certificate/Diploma","Government","Male","Oct",2,0.1,437
903,12,"Year 5",70,"Year 10 or below","Catholic","Female","Jan",1,0.08,585
904,55,"Year 9",0,"Postgraduate","Government","Male","Dec",2,1.1,673
905,47,"Year 9",15,"Certificate/Diploma","Independent","Male","Feb",2,1.06,716
906,52,"Year 9",5,"Year 12","Government","Male","Aug",1,0.39,649
907,25,"Year 7",5,"Bachelor degree","Government","Female","Sep",1,0.73,591
908,5,"Year 9",20,"Year 12","Government","Male","Sep",3,0.23,646
909,28,"Year 9",10,"Postgraduate","Independent","Male","Oct",3,3.02,710
910,50,"Year 7",15,"Year 12","Government","Female","Jan",1,-0.23,563
911,7,"Year 3",5,"Certificate/Diploma","Catholic","Male","Jan",3,2.12,430
912,18,"Year 7",10,"Postgraduate","Government","Male","Apr",5,1.3,577
913,57,"Year 5",0,"Bachelor degree","Catholic","Male","Mar",4,1.74,598
914,60,"Year 9",5,"Certificate/Diploma","Government","Male","Jun",2,1.05,649
915,8,"Year 9",10,"Bachelor degree","Government","Female","Nov",0,0.85,660
916,59,"Year 9",65,"Certificate/Diploma","Government","Female","Nov",1,0.05,765
917,60,"Year 5",40,"Postgraduate","Government","Female","Oct",1,0.79,514
918,33,"Year 5",70,"Certificate/Diploma","Government","Female","Sep",1,0.61,480
919,48,"Year 9",100,"Certificate/Diploma","Government","Male","Feb",0,0.94,487
920,33,"Year 3",0,"Certificate/Diploma","Government","Male","Jan",3,-0.66,416
921,60,"Year 5",5,"Year 12","Government","Female","Oct",4,0.24,503
922,19,"Year 5",5,"Certificate/Diploma","Government","Male","Dec",3,0.94,497
923,19,"Year 5",10,"Year 12","Government","Female","Jan",1,0.58,481
924,41,"Year 5",5,"Certificate/Diploma","Government","Female","Dec",2,1.09,446
925,59,"Year 9",30,"Year 12","Government","Female","May",2,0.07,683
926,8,"Year 5",15,"Bachelor degree","Government","Male","Jul",1,0.34,554
927,14,"Year 5",10,"Year 12","Government","Male","Feb",2,0.19,507
928,8,"Year 3",0,"Certificate/Diploma","Government","Male","Apr",3,0.62,462
929,20,"Year 5",5,"Postgraduate","Government","Female","Feb",2,1.91,522
930,22,"Year 9",10,"Bachelor degree","Government","Female","May",2,0.79,651
931,36,"Year 5",10,"Certificate/Diploma","Catholic","Female","Dec",4,1.53,558
932,42,"Year 7",5,"Bachelor degree","Government","Male","Feb",1,1.43,581
933,45,"Year 3",20,"Bachelor degree","Government","Male","Jan",0,0.92,434
934,37,"Year 5",5,"Certificate/Diploma","Government","Male","Mar",2,0.76,552
935,20,"Year 9",0,"Bachelor degree","Government","Male","Nov",1,1.74,637
936,17,"Year 7",15,"Year 12","Independent","Male","Dec",1,-0.2,616
937,42,"Year 9",5,"Year 10 or below","Government","Male","Jul",2,-0.33,648
938,55,"Year 7",0,"Year 12","Government","Male","Nov",1,1,570
939,38,"Year 3",15,"Certificate/Diploma","Government","Female","Apr",1,0.15,474
940,11,"Year 3",10,"Year 12","Government","Female","Mar",3,-0.3,428
941,43,"Year 9",25,"Certificate/Diploma","Government","Female","Jul",0,0.58,628
942,10,"Year 9",0,"Year 12","Catholic","Male","Jan",2,0.36,597
943,32,"Year 5",0,"Year 10 or below","Catholic","Female","Aug",2,-0.41,541
944,44,"Year 5",0,"Year 10 or below","Independent","Female","Oct",1,0.5,512
945,7,"Year 9",5,"Year 10 or below","Catholic","Female","Apr",2,-0.08,641
946,30,"Year 5",0,"Certificate/Diploma","Catholic","Male","Aug",3,0.11,569
947,21,"Year 5",0,"Year 10 or below","Independent","Male","Mar",0,-0.13,516
948,7,"Year 3",0,"Year 10 or below","Catholic","Male","Oct",3,-0.55,400
949,27,"Year 5",25,"Year 12","Government","Male","Jan",2,0.07,558
950,42,"Year 5",40,"Postgraduate","Government","Female","Jul",1,1.86,626
951,25,"Year 5",30,"Bachelor degree","Government","Male","Aug",0,0.8,529
952,55,"Year 9",20,"Certificate/Diploma","Government","Male","Dec",2,-0.23,692
953,31,"Year 9",15,"Certificate/Diploma","Catholic","Female","Mar",3,0.38,643
954,8,"Year 7",20,"Year 12","Government","Male","Jul",1,-0.43,635
955,50,"Year 3",15,"Certificate/Diploma","Government","Male","Dec",2,-0.6,408
956,22,"Year 7",15,"Bachelor degree","Government","Male","Dec",1,1.16,630
957,7,"Year 9",0,"Bachelor degree","Catholic","Female","Aug",1,0.89,650
958,3,"Year 9",25,"Bachelor degree","Government","Female","Jan",2,0.12,667
959,52,"Year 3",60,"Postgraduate","Government","Male","Dec",2,1.72,478
960,23,"Year 3",50,"Bachelor degree","Independent","Female","Jan",1,1.72,600
961,14,"Year 7",10,"Year 12","Government","Female","Feb",2,0.36,571
962,4,"Year 9",30,"Year 10 or below","Catholic","Female","Nov",0,0.55,625
963,34,"Year 7",5,"Year 12","Catholic","Male","Nov",2,0.11,608
964,13,"Year 9",0,"Year 10 or below","Independent","Female","Nov",5,0.52,673
965,53,"Year 3",15,"Certificate/Diploma","Government","Male","Jan",2,-0.11,495
966,43,"Year 3",25,"Certificate/Diploma","Government","Male","Jul",2,0.17,475
967,43,"Year 5",30,"Certificate/Diploma","Government","Female","Feb",0,0,561
968,52,"Year 9",15,"Certificate/Diploma","Government","Female","Sep",1,-0.27,693
969,38,"Year 5",65,"Year 10 or below","Government","Male","Aug",1,-1.46,575
970,24,"Year 9",10,"Bachelor degree","Independent","Female","Feb",2,3.41,686
971,37,"Year 5",25,"Certificate/Diploma","Government","Male","Mar",1,-0.81,564
972,43,"Year 7",20,"Postgraduate","Government","Male","Nov",2,1.37,583
973,31,"Year 5",0,"Certificate/Diploma","Catholic","Male","Feb",2,-0.14,507
974,54,"Year 7",0,"Year 12","Catholic","Female","Oct",0,-0.22,605
975,37,"Year 7",15,"Postgraduate","Government","Male","Nov",1,1.47,661
976,3,"Year 3",120,"Bachelor degree","Government","Female","Aug",3,0.24,539
977,46,"Year 9",15,"Year 10 or below","Independent","Male","Jul",1,-0.42,637
978,22,"Year 5",25,"Year 12","Government","Female","Mar",2,-0.35,599
979,49,"Year 7",20,"Year 12","Independent","Female","Oct",1,0.63,615
980,37,"Year 7",35,"Certificate/Diploma","Government","Male","Jan",2,-0.54,648
981,9,"Year 5",40,"Year 12","Catholic","Male","Feb",1,-1.12,437
982,34,"Year 5",5,"Year 12","Catholic","Female","Feb",1,-0.08,512
983,52,"Year 5",15,"Bachelor degree","Government","Male","Oct",1,1.38,556
984,55,"Year 5",15,"Year 12","Government","Male","Mar",2,-0.18,599
985,31,"Year 5",5,"Postgraduate","Catholic","Male","Feb",2,1.47,588
986,12,"Year 5",35,"Year 12","Catholic","Male","Mar",4,0.97,507
987,26,"Year 3",60,"Certificate/Diploma","Government","Male","Jun",1,0.21,419
988,11,"Year 3",0,"Postgraduate","Government","Female","Sep",2,1.09,458
989,19,"Year 9",115,"Year 12","Government","Female","Dec",1,0.4,782
990,41,"Year 7",10,"Year 12","Government","Female","Jul",1,-0.36,526
991,26,"Year 5",10,"Year 12","Government","Male","Oct",2,-0.06,493
992,60,"Year 7",0,"Certificate/Diploma","Government","Female","Apr",1,0.46,536
993,29,"Year 5",40,"Year 12","Government","Female","Aug",0,0.06,558
994,25,"Year 7",25,"Year 12","Government","Female","Feb",1,-0.03,468
995,4,"Year 7",45,"Certificate/Diploma","Catholic","Male","Mar",2,-0.06,597
996,12,"Year 5",20,"Year 10 or below","Catholic","Male","Oct",0,-0.35,462
997,51,"Year 5",40,"Year 10 or below","Government","Female","Jan",1,-0.29,527
998,42,"Year 7",0,"Year 10 or below","Government","Female","Dec",1,-0.12,548
999,53,"Year 7",10,"Bachelor degree","Government","Male","Aug",3,1.12,595
1000,34,"Year 7",5,"Bachelor degree","Catholic","Male","Feb",2,1.17,600
1001,11,"Year 7",30,"Year 10 or below","Government","Female","Oct",1,-1.42,479
1002,53,"Year 3",10,"Year 10 or below","Government","Male","Oct",2,-1.05,428
1003,15,"Year 3",50,"Year 10 or below","Government","Female","Mar",1,-0.96,562
1004,24,"Year 9",0,"Year 12","Independent","Female","Jul",2,1.06,643
1005,44,"Year 3",120,"Bachelor degree","Independent","Male","Mar",2,2.2,600
1006,26,"Year 9",25,"Year 10 or below","Government","Male","Aug",3,-1.45,565
1007,1,"Year 9",25,"Bachelor degree","Independent","Female","Apr",0,1.09,831
1008,53,"Year 7",10,"Postgraduate","Government","Male","Jul",1,1.1,614
1009,28,"Year 7",15,"Year 12","Independent","Female","Feb",2,1.94,591
1010,37,"Year 5",50,"Bachelor degree","Government","Female","Feb",4,1.65,684
1011,46,"Year 7",0,"Bachelor degree","Independent","Female","Dec",0,2.17,616
1012,44,"Year 9",5,"Year 10 or below","Independent","Female","Dec",1,-0.16,670
1013,25,"Year 9",15,"Bachelor degree","Government","Male","Feb",3,1.41,605
1014,10,"Year 5",20,"Year 12","Catholic","Female","Nov",1,0.37,523
1015,53,"Year 5",35,"Year 12","Government","Male","Apr",3,0.09,604
1016,29,"Year 5",0,"Year 10 or below","Government","Female","Jul",1,-0.76,448
1017,7,"Year 7",30,"Certificate/Diploma","Catholic","Male","Oct",1,0.61,613
1018,19,"Year 7",25,"Year 12","Government","Female","Oct",0,-0.06,628
1019,42,"Year 3",0,"Bachelor degree","Government","Male","Aug",2,0.72,419
1020,37,"Year 3",10,"Certificate/Diploma","Government","Female","Sep",1,0.73,449
1021,53,"Year 5",15,"Postgraduate","Government","Female","Dec",3,1.44,609
1022,44,"Year 3",0,"Certificate/Diploma","Independent","Male","Aug",2,2.25,548
1023,1,"Year 5",0,"Year 10 or below","Independent","Male","May",2,0.22,511
1024,9,"Year 7",15,"Certificate/Diploma","Catholic","Female","Oct",1,0.04,569
1025,6,"Year 9",25,"Year 12","Government","Male","Sep",2,0.6,662
1026,1,"Year 3",25,"Bachelor degree","Independent","Female","Jan",2,2.28,600
1027,56,"Year 9",15,"Bachelor degree","Catholic","Male","Aug",2,1.41,666
1028,14,"Year 3",30,"Bachelor degree","Government","Female","Sep",2,0.61,426
1029,51,"Year 3",50,"Year 12","Government","Female","Mar",2,-0.31,503
1030,60,"Year 7",25,"Year 12","Government","Female","Dec",2,-0.22,568
1031,55,"Year 5",20,"Bachelor degree","Government","Male","Jul",2,1.06,576
1032,27,"Year 9",15,"Year 12","Government","Male","Jan",2,0.44,598
1033,60,"Year 7",45,"Year 12","Government","Male","Nov",0,-0.04,546
1034,12,"Year 9",50,"Year 12","Catholic","Male","Sep",1,-0.23,614
1035,28,"Year 3",30,"Year 12","Independent","Male","Nov",1,1.15,453
1036,50,"Year 3",70,"Year 12","Government","Female","Jun",3,-0.22,581
1037,38,"Year 7",5,"Bachelor degree","Government","Male","Sep",2,0.47,617
1038,2,"Year 5",0,"Certificate/Diploma","Independent","Female","Nov",2,0.75,558
1039,27,"Year 9",0,"Year 10 or below","Government","Male","May",1,-0.52,502
1040,38,"Year 7",25,"Year 12","Government","Male","Jul",1,0.62,568
1041,10,"Year 9",15,"Year 12","Catholic","Female","Feb",0,0.39,637
1042,29,"Year 7",20,"Certificate/Diploma","Government","Female","Jul",1,-0.27,564
1043,10,"Year 3",95,"Year 10 or below","Catholic","Male","Apr",2,-0.49,419
1044,6,"Year 3",0,"Certificate/Diploma","Government","Male","Dec",1,0.64,403
1045,34,"Year 3",35,"Year 10 or below","Catholic","Male","Sep",5,-0.45,318
1046,23,"Year 9",30,"Year 12","Independent","Male","Aug",0,0.52,750
1047,50,"Year 7",25,"Bachelor degree","Government","Male","May",2,2.03,643
1048,33,"Year 5",10,"Certificate/Diploma","Government","Female","Oct",0,-0.71,520
1049,38,"Year 5",30,"Year 10 or below","Government","Male","May",1,-0.79,510
1050,15,"Year 7",20,"Certificate/Diploma","Government","Female","Aug",2,0.24,590
1051,39,"Year 7",55,"Bachelor degree","Independent","Male","Dec",1,2.22,689
1052,19,"Year 3",15,"Certificate/Diploma","Government","Male","Aug",3,0.24,522
1053,18,"Year 3",70,"Postgraduate","Government","Female","Sep",0,1.99,288
1054,52,"Year 7",15,"Bachelor degree","Government","Male","May",3,0.2,626
1055,51,"Year 3",40,"Year 10 or below","Government","Male","Jul",4,-0.29,497
1056,43,"Year 9",0,"Bachelor degree","Government","Male","Oct",2,0.59,651
